"Name","Team","HR","playerid"
"Joey Votto","CIN","2","4314"
"Cavan Biggio","TOR","2","19252"
"Matt Chapman","OAK","2","16505"
"Tommy Edman","STL","2","19470"
"Todd Frazier","NYM","3","785"
"Gleyber Torres","NYY","1","16997"
"Charlie Blackmon","COL","1","7859"
"Luis Rengifo","LAA","0","19858"
"Joc Pederson","LAD","3","11899"
"Randal Grichuk","TOR","2","10243"
"Kyle Seager","SEA","4","9785"
"Mallex Smith","SEA","0","13608"
"Hunter Renfroe","SDP","5","15464"
"Kevin Newman","PIT","1","17696"
"Robinson Cano","NYM","5","3269"
"Nolan Arenado","COL","2","9777"
"Mike Moustakas","MIL","3","4892"
"Cesar Hernandez","PHI","0","10556"
"Yolmer Sanchez","CHW","1","11602"
"Kevin Pillar","SFG","2","12434"
"Jackie Bradley Jr.","BOS","2","12984"
"Scott Kingery","PHI","3","17975"
"Jose Abreu","CHW","3","15676"
"Jose Iglesias","CIN","2","10231"
"Jarrod Dyson","ARI","1","4866"
"Eric Hosmer","SDP","2","3516"
"Harold Ramirez","MIA","4","14387"
"J.P. Crawford","SEA","1","15491"
"Miguel Cabrera","DET","2","1744"
"Willy Adames","TBR","3","15986"
"Wilson Ramos","NYM","1","1433"
"Josh Reddick","HOU","0","3892"
"Khris Davis","OAK","1","9112"
"James McCann","CHW","3","12859"
"Elvis Andrus","TEX","1","8709"
"Nicky Lopez","KCR","0","19339"
